problem_id,turn_id,local_annotation_sec,global_annotation_sec,correct,uncertain,matched,transcript_index,start_sec,end_sec,student_text,alignment_gap_sec,student_id,condition,problem59_offset_sec,uncertain_label,correct_label,gap_band,text_raw,text_normalized
58,1,55.038,55.038,True,False,True,0.0,48.682,50.134,They're the same.,4.903999999999996,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]",They're the same.,They're the same
58,2,92.128,92.128,True,False,True,1.0,84.232,85.604,Vertically down.,6.524000000000001,pslc01-c1,c1,941.0,0,1,"(6.0, 10.0]",Vertically down.,Vertically down
58,3,127.131,127.131,True,True,True,2.0,120.784,122.087,Vertical down??,5.043999999999997,pslc01-c1,c1,941.0,1,1,"(3.0, 6.0]",Vertical down??,Vertical down
58,4,159.707,159.707,True,False,True,3.0,153.156,154.668,Yes. Straight down.,5.038999999999987,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]",Yes. Straight down.,Yes Straight down
58,5,172.401,172.401,True,False,True,4.0,166.029,167.191,Nine point eight.,5.210000000000008,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]",Nine point eight.,Nine point eight
58,6,192.543,192.543,True,False,True,5.0,185.788,187.44,Gravity. Straight down.,5.103000000000009,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]",Gravity. Straight down.,Gravity Straight down
58,7,211.091,211.091,True,True,True,6.0,204.667,206.078,Straight down.,5.013000000000005,pslc01-c1,c1,941.0,1,1,"(3.0, 6.0]",Straight down.,Straight down
58,8,240.624,240.624,True,False,True,7.0,234.552,236.024,Yes. Straight down.,4.599999999999994,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]",Yes. Straight down.,Yes Straight down
58,9,252.309,252.309,True,False,True,8.0,246.583,247.645,Nine point eight.,4.663999999999987,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]",Nine point eight.,Nine point eight
58,10,281.592,281.592,True,True,True,9.0,274.688,276.63,Nine point eight meters??,4.961999999999989,pslc01-c1,c1,941.0,1,1,"(3.0, 6.0]",Nine point eight meters??,Nine point eight meters
58,11,308.764,308.764,True,True,True,10.0,301.933,304.236,Nine point eight meters per second.,4.52800000000002,pslc01-c1,c1,941.0,1,1,"(3.0, 6.0]",Nine point eight meters per second.,Nine point eight meters per second
58,12,349.077,349.077,True,False,True,11.0,342.113,344.396,Nine point eight plus nine point eight.,4.680999999999983,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]",Nine point eight plus nine point eight.,Nine point eight plus nine point eight
58,13,363.619,363.619,True,False,True,12.0,357.44100000000003,358.843,They're the same.,4.7760000000000105,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]",They're the same.,They're the same
58,14,377.32,377.32,True,False,True,13.0,371.127,372.208,Yes.,5.111999999999966,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]",Yes.,Yes
58,15,396.253,396.253,True,False,True,14.0,391.237,392.549,They're the same.,3.704000000000008,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]",They're the same.,They're the same
59,1,76.095,1017.095,True,False,True,15.0,1011.494,1012.785,They're the same.,4.310000000000059,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]",They're the same.,They're the same
59,2,114.81,1055.81,True,False,True,16.0,1046.514,1051.233,"Gravity, vertically down, and air resistance.",4.576999999999998,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]","Gravity, vertically down, and air resistance.",Gravity vertically down and air resistance
59,3,134.846,1075.846,True,False,True,17.0,1069.23,1070.952,Vertically down.,4.8940000000000055,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]",Vertically down.,Vertically down
59,4,148.932,1089.932,True,False,True,18.0,1084.59,1086.283,Yes. Vertically down.,3.6490000000001146,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]",Yes. Vertically down.,Yes Vertically down
59,5,163.408,1104.408,False,False,True,19.0,1095.136,1098.14,Two point eight meters per second squared.,6.267999999999802,pslc01-c1,c1,941.0,0,0,"(6.0, 10.0]",Two point eight meters per second squared.,Two point eight meters per second squared
59,6,181.494,1122.494,True,False,True,20.0,1114.577,1117.972,"Two point eight. Er, nine point eight.",4.521999999999935,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]","Two point eight. Er, nine point eight.",Two point eight Er nine point eight
59,7,201.595,1142.595,True,False,True,21.0,1136.44,1138.583,"Gravity, vertically down.",4.011999999999944,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]","Gravity, vertically down.",Gravity vertically down
59,8,220.064,1161.064,True,False,True,22.0,1155.278,1157.011,Vertically down.,4.053000000000111,pslc01-c1,c1,941.0,0,1,"(3.0, 6.0]",Vertically down.,Vertically down
